id,start_date,type,identifier__freebase,identifier__gss,name__en,name__en_ca,name__en_gb,name__cy,name__fr,name__de,identifier__bbc_things,name__zh_hant,name__zh_cn,name__ca,name__zh,end_date,name__eu,identifier__lcauth,name__ja,name__ga,name__sco,name__br,name__ar,name__es,name__it,name__nl,name__gd,name__sv
Q13128697,1999,Constituency of the Welsh Assembly,/m/026gzl7,W09000004,Clwyd West,,,Gorllewin Clwyd,Clwyd West,,,,,,,,,,,,,,,,,,,
Q4243314,1999,Constituency of the Welsh Assembly,/m/026mz48,W09000011,Montgomeryshire,Montgomeryshire,Montgomeryshire,Maldwyn,Montgomeryshire,,,,,,,,,,,,,,,,,,,
Q4666775,1999,Constituency of the Welsh Assembly,/m/026wm2q,W09000022,Aberavon,,,Aberafan,Aberavon,Aberavon,,,,,,,,,,,,,,,,,,
Q4666807,2007,Constituency of the Welsh Assembly,/m/02707j2,W09000003,Aberconwy,,,Aberconwy,Aberconwy,,,,,,,,,,,,,,,,,,,
Q4738671,1999,Constituency of the Welsh Assembly,/m/026dlkc,W09000007,Alyn and Deeside,,,Alun a Glannau Dyfrdwy,Alyn and Deeside,,,,,,,,,,,,,,,,,,,
Q4789158,2007,Constituency of the Welsh Assembly,/m/0271ns9,W09000002,Arfon,,,Arfon,Arfon,,ae72add9-102e-4ab9-8e6d-48ccc39508c3,,,,,,,,,,,,,,,,,
Q4923797,1999,Constituency of the Welsh Assembly,/m/026twrc,W09000038,Blaenau Gwent,,,Blaenau Gwent,Blaenau Gwent,,,,,,,,,,,,,,,,,,,
Q4960088,1999,Constituency of the Welsh Assembly,/m/026myzf,W09000041,Brecon and Radnorshire,,,Brycheiniog a Sir Faesyfed,Brecon and Radnorshire,,,佈雷肯及拉德諾郡 (國民議會選區),布雷肯及拉德諾郡 (國民議會選區),Brycheiniog i Sir Faesyfed,,,,,,,,,,,,,,
Q4966526,1999,Constituency of the Welsh Assembly,/m/026wm1b,W09000023,Bridgend,,,Pen-y-bont ar Ogwr,Bridgend,,,,,,南威爾斯西 (威爾斯議會選區),,,,,,,,,,,,,
Q5016911,1999,Constituency of the Welsh Assembly,/m/026gzg3,,Caernarfon,,,Caernarfon,Caernarfon (ancienne circonscription galloise),,,,,,,2007,,,,,,,,,,,,
Q5016924,1999,Constituency of the Welsh Assembly,/m/026twsr,W09000035,Caerphilly,,,Caerffili,Caerphilly,,,,,,,,,,,,,,,,,,,
Q5038385,1999,Constituency of the Welsh Assembly,/m/026pqg0,W09000031,Cardiff Central,,,Canol Caerdydd,Cardiff Central,,c6865c08-48de-4cf3-bc6c-0c5f71e3d18a,,,,,,,,,,,,,,,,,
Q5038453,1999,Constituency of the Welsh Assembly,/m/026pqfp,W09000042,Cardiff North,,,Gogledd Caerdydd,Cardiff North,,,,,,,,,,,,,,,,,,,
Q5038472,1999,Constituency of the Welsh Assembly,/m/026pqfb,W09000043,Cardiff South and Penarth,,,De Caerdydd a Phenarth,Cardiff South and Penarth,,,,,,,,,,,,,,,,,,,
Q5038486,1999,Constituency of the Welsh Assembly,/m/026pqdn,W09000029,Cardiff West,,,Gorllewin Caerdydd,Cardiff West,,,,,,西卡迪夫,,,,,,,,,,,,,
Q5043201,1999,Constituency of the Welsh Assembly,/m/026my_t,W09000015,Carmarthen East and Dinefwr,,,Dwyrain Caerfyrddin a Dinefwr,Carmarthen East and Dinefwr,,,,,,,,Carmarthen Ekialdea eta Dinefwr,,,,,,,,,,,
Q5043210,1999,Constituency of the Welsh Assembly,/m/026mz2x,W09000016,Carmarthen West and South Pembrokeshire,,,Gorllewin Caerfyrddin a De Sir Benfro,Carmarthen West and South Pembrokeshire,,,,,,,,,,,,,,,,,,,
Q5064122,1999,Constituency of the Welsh Assembly,/m/026mz3l,W09000012,Ceredigion,,,Ceredigion,Ceredigion,,,,,,,,,,,,,,,,,,,
Q5136797,1999,Constituency of the Welsh Assembly,/m/0fhm29,W09000009,Clwyd South,,,De Clwyd,Clwyd South,,,,,,,,,,,,,,,,,,,
Q5166754,1999,Constituency of the Welsh Assembly,/m/026h108,,Conwy,,,Conwy,Conwy (ancienne circonscription galloise),,,,,,,2007,,,,,,,,,,,,
Q5199989,1999,Constituency of the Welsh Assembly,/m/026pqcm,W09000026,Cynon Valley,,,Cwm Cynon,Cynon Valley,,,,,,,,,,,,,,,,,,,
Q5254972,1999,Constituency of the Welsh Assembly,/m/026h2dn,W09000006,Delyn,,,Delyn,Delyn,,,,,,德林,,,,,,,,,,,,,
Q5318359,2007,Constituency of the Welsh Assembly,/m/0276ntp,W09000010,Dwyfor Meirionnydd,,,Dwyfor Meirionnydd,Dwyfor Meirionnydd,,,,,,,,,,,,,,,,,,,
Q5590043,1999,Constituency of the Welsh Assembly,/m/026wm0n,W09000018,Gower,,,Gŵyr,Gower,,fec80bf6-3102-4559-a3ae-fb3ab6bb6767,,,,,,,sh85056133,,,,,,,,,,
Q6084441,1999,Constituency of the Welsh Assembly,/m/026twv3,W09000036,Islwyn,,,Islwyn,Islwyn,,,,,,,,,,,,,,,,,,,
Q6661286,1999,Constituency of the Welsh Assembly,/m/026pqby,W09000017,Llanelli,,,Llanelli,Llanelli,,,,,,,,,,,,,,,,,,,
Q6810309,1999,Constituency of the Welsh Assembly,/m/026h2j2,,Meirionnydd Nant Conwy,,,Meirionnydd Nant Conwy,Meirionnydd Nant Conwy (ancienne circonscription galloise),,,,,,,2007,,,,,,,,,,,,
Q6820690,1999,Constituency of the Welsh Assembly,/m/026twwh,W09000044,Merthyr Tydfil and Rhymney,,,Merthyr Tudful a Rhymni,Merthyr Tydfil and Rhymney,,,,,,,,,,,,,,,,,,,
Q6841063,1999,Electoral region of the Welsh Assembly,/m/0fhmsm,W10000006,Mid and West Wales,,,Rhanbarth Canolbarth a Gorllewin Cymru (Cynulliad Cenedlaethol),Mid and West Wales,,,,,,,,,,,,,,,,,,,
Q6901044,1999,Constituency of the Welsh Assembly,/m/026twxw,W09000034,Monmouth,,,Mynwy,Monmouth,,,,,,,,,,モンマス (ウェールズ議会選挙区),,,,,,,,,
Q6984487,1999,Constituency of the Welsh Assembly,/m/026wl_m,W09000021,Neath,,,Castell-nedd,Neath,Neath,6eedf35c-3592-46d9-a04c-8fdf68239bae,,,Castell-nedd,,,,,,Castell-nedd,Castell-nedd,Castell-nedd,,,,,,
Q7018848,1999,Constituency of the Welsh Assembly,/m/026txnl,W09000040,Newport East,,,Dwyrain Casnewydd,Newport East,Newport East,,,,,,,,,,,,,,,,,,
Q7019054,1999,Constituency of the Welsh Assembly,/m/026txpm,W09000039,Newport West,,,Gorllewin Casnewydd,Newport West,,,,,,,,,,,,,,,,,,,
Q7057143,1999,Electoral region of the Welsh Assembly,/m/0fhmk1,W10000001,North Wales,,,Rhanbarth Gogledd Cymru (Cynulliad Cenedlaethol),North Wales,,,,,,北威爾斯,,,,,,,,شمال ويلز,,,,,
Q7080136,1999,Constituency of the Welsh Assembly,/m/026wlyx,W09000045,Ogmore,,,Ogwr,Ogmore,,,,,,,,,,,,,,,,,,,
Q7228415,1999,Constituency of the Welsh Assembly,/m/026pq9k,W09000046,Pontypridd,,,Pontypridd,Pontypridd,,,,,,,,,,,,,,,,,,,
Q7240912,1999,Constituency of the Welsh Assembly,/m/026mzrj,W09000014,Preseli Pembrokeshire,,,Preseli Penfro,Preseli Pembrokeshire,,,,,,,,,,,,,,,,,,,
Q7321386,1999,Constituency of the Welsh Assembly,/m/026pppm,W09000025,Rhondda,,,Rhondda,Rhondda,Rhondda,,,,,,,Rhondda,,,,,,,Rhondda,Rhondda,Rhondda,,
Q7568764,1999,Electoral region of the Welsh Assembly,/m/0fhmw0,W10000007,South Wales Central,,,Rhanbarth Canol De Cymru (Cynulliad Cenedlaethol),South Wales Central,,,,,,南威爾斯中 (威爾斯國民議會選區),,Hego Gales Erdialdea,,,,,,,,,,,
Q7568768,1999,Electoral region of the Welsh Assembly,/m/0fhmx1,W10000008,South Wales East,,,Rhanbarth Dwyrain De Cymru (Cynulliad Cenedlaethol),South Wales East,,,,,,,,,,,,,,جنوب ويلز الشرقية,,,,,
Q7568795,1999,Electoral region of the Welsh Assembly,/m/0fhmz3,W10000009,South Wales West,,,Rhanbarth Gorllewin De Cymru (Cynulliad Cenedlaethol),South Wales West,South Wales West,,,,,,,,,,,,,,,,,,
Q7653683,1999,Constituency of the Welsh Assembly,/m/026wlxj,W09000020,Swansea East,,,Dwyrain Abertawe,Swansea East,,,,,,,,,,,,,,,,,,,
Q7653727,1999,Constituency of the Welsh Assembly,/m/026wlvt,W09000019,Swansea West,,,Gorllewin Abertawe,Swansea West,,,,,,,,,,,,,,,,,,,
Q7825685,1999,Constituency of the Welsh Assembly,/m/011bnb39,W09000037,Torfaen,,,Torfaen,Torfaen (Assembly constituency),Torfaen (Assembly constituency),bb631508-d4ef-470a-8fc8-de12e57c424d,,,Torfaen (etholaeth Cynulliad),,,,,,Torfaen (etholaeth Cynulliad),,,,Torfaen (Assembly constituency),Torfaen (Assembly constituency),Torfaen (Assembly constituency),Torfaen (etholaeth Cynulliad),Torfaen (Assembly constituency)
Q7909529,1999,Constituency of the Welsh Assembly,/m/026hknx,W09000005,Vale of Clwyd,,,Dyffryn Clwyd,Vale of Clwyd,,,,,,,,,,,,,,,,,,,
Q7909545,1999,Constituency of the Welsh Assembly,/m/026ppm6,W09000047,Vale of Glamorgan,,,Bro Morgannwg,Vale of Glamorgan,,,,,,,,,,,,,,,,,,,
Q8038114,1999,Constituency of the Welsh Assembly,/m/0fhm0k,W09000008,Wrexham,,,Wrecsam,Wrexham,,,,,,,,,,,,,,,,,,,
Q8054067,1999,Constituency of the Welsh Assembly,/m/026hkq8,W09000001,Ynys Môn,,,Ynys Môn,Ynys Môn,,ce1dee12-d7d1-419f-acba-41eb20a4d8d5,,,,,,,,アニス・モーン (ウェールズ議会選挙区),,,,,,,,,
